date,company,trip_count,fare_amount
2015-12-13,1,3283,13.548659762
2015-12-14,1,3200,12.951875
2015-12-14,2,3662,13.045603495
2015-12-15,2,4015,13.658966376
2015-12-15,1,3458,13.255205321
2015-12-16,2,4211,13.338636903
2015-12-16,1,3605,13.687101248
2015-12-17,2,4017,13.761264625
2015-12-17,1,3388,14.006788666
2015-12-18,2,4476,13.494191242
2015-12-18,1,4011,13.452006981
2015-12-19,1,4006,12.343559661
2015-12-19,2,4805,12.386784599
2015-12-20,2,3949,12.248797164
2015-12-20,1,3525,12.555460993
2015-12-21,2,3511,12.899316434
2015-12-21,1,3133,12.6990233
2015-12-22,2,3423,12.952088811
2015-12-22,1,3225,13.142728682
2015-12-23,1,3014,13.300099536
2015-12-23,2,3385,13.100886263
2015-12-24,2,3119,12.071978198
2015-12-24,1,2559,12.025400547
2015-12-25,1,1436,13.860724234
2015-12-25,2,2057,12.75352455
2015-12-26,1,2049,12.662762323
2015-12-26,2,2536,12.850157729
2015-12-27,2,2776,14.055835735
2015-12-27,1,2390,13.876569038
2015-12-28,2,2993,13.128800535
2015-12-28,1,2648,12.893693353
2015-12-29,1,2820,13.015602837
2015-12-29,2,3102,12.511605416
2015-12-30,2,3082,13.797696301
2015-12-30,1,2750,13.521363636
2015-12-31,2,3560,11.960814607
2015-12-31,1,2920,11.988013699
